연번,레벨,아이디,고을_한자,고을_한자_세부,고을_한글,고을_한글_세부,戶 한문,戶 아라비아 숫자
247,5,wda_40006004_001,慶尙道 / 晉州牧 / 金海都護府,莞浦,경상도 / 진주목 / 김해도호부,완포,"三十七,",37
248,5,wda_40006004_002,慶尙道 / 晉州牧 / 昌原都護府,,경상도 / 진주목 / 창원도호부,,"一千九十四,",1094
249,5,wda_40006004_003,慶尙道 / 晉州牧 / 咸安郡,,경상도 / 진주목 / 함안군,,"七百三十二,",732
250,5,wda_40006004_004,慶尙道 / 晉州牧 / 咸陽郡,,경상도 / 진주목 / 함양군,,"四百二十八,",428
251,5,wda_40006004_005,慶尙道 / 晉州牧 / 昆南郡,,경상도 / 진주목 / 곤남군,,"二百七十單一,",271
252,5,wda_40006004_006,慶尙道 / 晉州牧 / 固城縣,,경상도 / 진주목 / 고성현,,"五百三十單一,",531
253,5,wda_40006004_007,慶尙道 / 晉州牧 / 巨濟縣,,경상도 / 진주목 / 거제현,,"一百五十三,",153
254,5,wda_40006004_008,慶尙道 / 晉州牧 / 泗川縣,,경상도 / 진주목 / 사천현,,"三百七十,",370
255,5,wda_40006004_009,慶尙道 / 晉州牧 / 居昌縣,,경상도 / 진주목 / 거창현,,"五百五,",505
256,5,wda_40006004_010,慶尙道 / 晉州牧 / 河東縣,,경상도 / 진주목 / 하동현,,"三百四十六,",346
257,5,wda_40006004_011,慶尙道 / 晉州牧 / 珍城縣,本縣,경상도 / 진주목 / 진성현,본현,"二百三十四,",234
258,5,wda_40006004_011,慶尙道 / 晉州牧 / 珍城縣,丹溪,경상도 / 진주목 / 진성현,단계,"一百三十九,",139
259,5,wda_40006004_012,慶尙道 / 晉州牧 / 漆原縣,本縣,경상도 / 진주목 / 칠원현,본현,"三百三十七,",337
260,5,wda_40006004_012,慶尙道 / 晉州牧 / 漆原縣,龜山,경상도 / 진주목 / 칠원현,구산,"一百四,",104
261,5,wda_40006004_013,慶尙道 / 晉州牧 / 山陰縣,,경상도 / 진주목 / 산음현,,"二百五十七,",257
262,5,wda_40006004_014,慶尙道 / 晉州牧 / 安陰縣,,경상도 / 진주목 / 안음현,,"四百八十一,",481
263,5,wda_40006004_015,慶尙道 / 晉州牧 / 三嘉縣,,경상도 / 진주목 / 삼가현,,"三百七,",307
264,5,wda_40006004_016,慶尙道 / 晉州牧 / 宜寧縣,本縣,경상도 / 진주목 / 의령현,본현,"五百四,",504
265,5,wda_40006004_016,慶尙道 / 晉州牧 / 宜寧縣,新繁,경상도 / 진주목 / 의령현,신번,"五百五十五,",555
266,5,wda_40006004_017,慶尙道 / 晉州牧 / 鎭海縣,,경상도 / 진주목 / 진해현,,"二百二,",202
267,5,wda_40007001_001,全羅道 / 全州府 / 珍山郡,,전라도 / 전주부 / 진산군,,"一百十四,",104
268,5,wda_40007001_002,全羅道 / 全州府 / 錦山郡,,전라도 / 전주부 / 금산군,,"四百五十二,",452
269,5,wda_40007001_003,全羅道 / 全州府 / 益山郡,,전라도 / 전주부 / 익산군,,"三百十九,",309
270,5,wda_40007001_004,全羅道 / 全州府 / 古阜郡,,전라도 / 전주부 / 고부군,,"三百五十七,",357
271,5,wda_40007001_005,全羅道 / 全州府 / 金堤郡,,전라도 / 전주부 / 김제군,,"四百九,",409
272,5,wda_40007001_006,全羅道 / 全州府 / 金溝縣,,전라도 / 전주부 / 금구현,,"二百六十二,",262
273,5,wda_40007001_007,全羅道 / 全州府 / 萬頃縣,,전라도 / 전주부 / 만경현,,"一百七十二,",172
274,5,wda_40007001_008,全羅道 / 全州府 / 臨陂縣,,전라도 / 전주부 / 임피현,,"三百九十六,",396
275,5,wda_40007001_009,全羅道 / 全州府 / 沃溝縣,,전라도 / 전주부 / 옥구현,,"二百五十七,",257
276,5,wda_40007001_010,全羅道 / 全州府 / 咸悅縣,,전라도 / 전주부 / 함열현,,"二百八十八,",288
277,5,wda_40007001_011,全羅道 / 全州府 / 龍安縣,,전라도 / 전주부 / 용안현,,"一百九十,",191
278,5,wda_40007001_012,全羅道 / 全州府 / 扶安縣,,전라도 / 전주부 / 부안현,,"三百二十三,",323
279,5,wda_40007001_013,全羅道 / 全州府 / 井邑縣,,전라도 / 전주부 / 정읍현,,"一百三十,",130
280,5,wda_40007001_014,全羅道 / 全州府 / 泰仁縣,,전라도 / 전주부 / 태인현,,"二百四十七,",247
281,5,wda_40007001_015,全羅道 / 全州府 / 高山縣,,전라도 / 전주부 / 고산현,,"二百六十,",261
282,5,wda_40007001_016,全羅道 / 全州府 / 礪山縣,,전라도 / 전주부 / 여산현,,"三百十二,",302
283,5,wda_40007002_001,全羅道 / 羅州牧 / 海珍郡,,전라도 / 나주목 / 해진군,,"一百二十二,",122
284,5,wda_40007002_002,全羅道 / 羅州牧 / 靈巖郡,,전라도 / 나주목 / 영암군,,"三百三十三,",333
285,5,wda_40007002_003,全羅道 / 羅州牧 / 靈光郡,,전라도 / 나주목 / 영광군,,"三百三十一,",331
286,5,wda_40007002_004,全羅道 / 羅州牧 / 康津縣,,전라도 / 나주목 / 강진현,,"三百五十五,",355
287,5,wda_40007002_005,全羅道 / 羅州牧 / 茂長縣,,전라도 / 나주목 / 무장현,,"三百五十六,",356
